2,2,QRSHIT,asdasd,QRSHIT,5111,Dozens,2223,111,3,POS-main/InAndOut/qrcode\QRSHIT.png
2,2,QRSHIT,asdasd,QRSHIT,5111,Dozens,2223,111,3,POS-main/InAndOut/qrcode\QRSHIT.png
2,2,QRSHIT,asdasd,QRSHIT,5111,Dozens,2223,111,3,POS-main/InAndOut/qrcode\QRSHIT.png
2,2,QRSHIT,asdasd,QRSHIT,5111,Dozens,2223,111,3,POS-main/InAndOut/qrcode\QRSHIT.png
3,2,CHITAE,CHITAE,CHITAE,123,Box,123,123,3,POS-main/InAndOut/qrcode\CHITAE.png
3,2,CHITAE,CHITAE,CHITAE,123,Box,123,123,3,POS-main/InAndOut/qrcode\CHITAE.png
2,2,PLEASE :<,a,PLEASE :<,123,Box,123,123,2,POS-main/InAndOut/qrcode\PLEASE_:<.png
2,2,PLEASE :<,a,PLEASE :<,123,Box,123,123,2,POS-main/InAndOut/qrcode\PLEASE_:<.png
1,2,please,please,please,22,Dozens,333,11,2,POS-main/InAndOut/qrcode\please.png
1,2,please,please,please,22,Dozens,333,11,2,POS-main/InAndOut/qrcode\please.png
3,1,Time comes,AAA,this is the time,29,Bottles,29,29,2,POS-main/InAndOut/qrcode\Time_comes.png
3,1,Time comes,AAA,this is the time,29,Bottles,29,29,2,POS-main/InAndOut/qrcode\Time_comes.png
2,2,PL,EASE,PLEASE,99,Box,88,77,2,POS-main/InAndOut/qrcode\PL.png
2,2,PL,EASE,PLEASE,99,Box,88,77,2,POS-main/InAndOut/qrcode\PL.png
3,1,WEEEEEEE,WEEEEEEE,WEEEEEEE,123,Dozens,23,44,3,POS-main/InAndOut/qrcode\WEEEEEEE.png
3,1,HATDOG,asdads,1111,10,Kg,5,6,2,POS-main/InAndOut/qrcode\HATDOG.png
1,2,Pork,Meats,Pork,22,Packet,300,3,2,POS-main/InAndOut/qrcode\Pork.png
